08865FLCKN259CE,7783202,AMMONIUM SULFATE (SOLUTION),0 Pounds
08865BHLRF85IND,79016,TRICHLOROETHYLENE,990 Pounds
08863THCLS1055K,100425,STYRENE,755 Pounds
08863PMCSPINDUS,100425,STYRENE,500 Pounds
08863PMCSPINDUS,106445,P-CRESOL,1000 Pounds
08863PMCSPINDUS,95476,O-XYLENE,500 Pounds
08863PMCSPINDUS,108952,PHENOL,500 Pounds
08863HTCCRKINGG,85449,PHTHALIC ANHYDRIDE,0 Pounds
08862WTCCR1000C,121448,TRIETHYLAMINE,0 Pounds
08862WTCCR1000C,N120,DIISOCYANATES,219 Pounds
08862WTCCR1000C,107211,ETHYLENE GLYCOL,1585 Pounds
08862WTCCR1000C,302012,HYDRAZINE,0 Pounds
08862WTCCR1000C,872504,N-METHYL-2-PYRROLIDONE,0 Pounds
08862MRTLL144GR,117840,N-DIOCTYL PHTHALATE,255 Pounds
08861VSMBY1190A,N982,ZINC COMPOUNDS,811.3 Pounds
08861VSMBY1190A,7439921,LEAD,29.5 Pounds
08861PTRLM164SH,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",500 Pounds
08861NGLRT1200A,1330207,XYLENE (MIXED ISOMERS),3 Pounds
08861NGLRT1200A,95636,124-TRIMETHYLBENZENE,3 Pounds
08861NGLRT1200A,N230,CERTAIN GLYCOL ETHERS,7 Pounds
08861NGLRT1200A,131113,DIMETHYL PHTHALATE,2 Pounds
08861NGLRT1200A,71363,N-BUTYL ALCOHOL,1 Pounds
08861NGLRT1200A,91203,NAPHTHALENE,3 Pounds
08861MRDHSSMITH,100414,ETHYLBENZENE,1702 Pounds
08861MRDHSSMITH,7439921,LEAD,1.3 Pounds
08861MRDHSSMITH,110543,N-HEXANE,99 Pounds
08861MRDHSSMITH,N590,POLYCYCLIC AROMATIC COMPOUNDS,0.67 Pounds
08861MRDHSSMITH,91203,NAPHTHALENE,30 Pounds
08861MRDHSSMITH,95636,124-TRIMETHYLBENZENE,1064 Pounds
08861MRDHSSMITH,191242,BENZO(GHI)PERYLENE,0.02 Pounds
08861KCHMT1050S,1332214,ASBESTOS (FRIABLE),0 Pounds
08861KCHMT1050S,N090,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),0 Pounds
08861KCHMT1050S,107211,ETHYLENE GLYCOL,0 Pounds
08861CHVRN1200S,N420,LEAD COMPOUNDS,1.6 Pounds
08861CHVRN1200S,191242,BENZO(GHI)PERYLENE,0 Pounds
08861CHVRN1200S,91203,NAPHTHALENE,12 Pounds
08861CHVRN1200S,N590,POLYCYCLIC AROMATIC COMPOUNDS,0 Pounds
08859HRCLSSOUTH,N511,NITRATE COMPOUNDS,0 Pounds
08859HRCLSSOUTH,N230,CERTAIN GLYCOL ETHERS,0 Pounds
08859HRCLSSOUTH,107211,ETHYLENE GLYCOL,0 Pounds
08859HRCLSSOUTH,75650,TERT-BUTYL ALCOHOL,19231 Pounds
08859HRCLSSOUTH,75218,ETHYLENE OXIDE,702 Pounds
08859HRCLSSOUTH,7697372,NITRIC ACID,273 Pounds
08859HDMCR500CH,872504,N-METHYL-2-PYRROLIDONE,127 Pounds
08859GRNTR50SMI,N511,NITRATE COMPOUNDS,0 Pounds
08859GRNTR50SMI,191242,BENZO(GHI)PERYLENE,0 Pounds
08859GRNTR50SMI,N590,POLYCYCLIC AROMATIC COMPOUNDS,0.6 Pounds
08859GRNTR50SMI,7697372,NITRIC ACID,616 Pounds
08859DPNTPCHEES,872504,N-METHYL-2-PYRROLIDONE,723 Pounds
08859DPNTPCHEES,107131,ACRYLONITRILE,39 Pounds
08859DPNTPCHEES,141322,BUTYL ACRYLATE,8 Pounds
08859DPNTPCHEES,N230,CERTAIN GLYCOL ETHERS,11 Pounds
08859DPNTPCHEES,108101,METHYL ISOBUTYL KETONE,615 Pounds
08859DPNTPCHEES,121448,TRIETHYLAMINE,397 Pounds
08859CLPNP970WA,7664417,AMMONIA,2422 Pounds
08857QGLYCBORDE,N420,LEAD COMPOUNDS,1 Pounds
08857MDSNNOLDWA,N450,MANGANESE COMPOUNDS,500 Pounds
08857MDSNNOLDWA,N420,LEAD COMPOUNDS,0 Pounds
08857MDSNNOLDWA,N982,ZINC COMPOUNDS,500 Pounds
08857LDBRDOLDWB,7664417,AMMONIA,1115 Pounds
08857LDBRDOLDWB,7664382,PHOSPHORIC ACID,0 Pounds
08857LDBRDOLDWA,N420,LEAD COMPOUNDS,0 Pounds
